date,habit_name,amount,goal_reached
2025-04-14,kiss,33.0,True
2025-03-01,Drink Water,1773.0,No
2025-03-01,Read,27.0,True
2025-03-01,Exercise,33.0,True
2025-03-01,Meditation,13.0,True
2025-03-02,Drink Water,1757.0,No
2025-03-02,Meditation,7.0,No
2025-03-03,Drink Water,2184.0,True
2025-03-03,Read,25.0,True
2025-03-03,Exercise,56.0,True
2025-03-04,Drink Water,1708.0,No
2025-03-04,Exercise,46.0,True
2025-03-05,Drink Water,2155.0,True
2025-03-05,Read,30.0,True
2025-03-05,Exercise,35.0,True
2025-03-05,Meditation,12.0,True
2025-03-06,Drink Water,1923.0,True
2025-03-06,Exercise,29.0,No
2025-03-06,Meditation,13.0,True
2025-03-06,Sleep,8.0,No
2025-03-07,Drink Water,1609.0,No
2025-03-07,Read,11.0,True
2025-03-07,Exercise,23.0,No
2025-03-07,Meditation,19.0,True
2025-03-08,Drink Water,2106.0,True
2025-03-08,Read,28.0,True
2025-03-08,Exercise,49.0,True
2025-03-08,Meditation,16.0,True
2025-03-09,Drink Water,1563.0,No
2025-03-09,Read,9.0,No
2025-03-09,Sleep,8.0,True
2025-03-10,Drink Water,1731.0,No
2025-03-10,Meditation,9.0,No
2025-03-11,Drink Water,1528.0,No
2025-03-11,Read,28.0,True
2025-03-11,Meditation,12.0,True
2025-03-12,Drink Water,1971.0,True
2025-03-12,Read,6.0,No
2025-03-12,Meditation,11.0,True
2025-03-13,Drink Water,2113.0,True
2025-03-13,Read,14.0,True
2025-03-14,Drink Water,1798.0,No
2025-03-14,Read,20.0,True
2025-03-14,Meditation,18.0,True
2025-03-15,Drink Water,1957.0,True
2025-03-15,Read,16.0,True
2025-03-15,Meditation,17.0,True
2025-03-16,Drink Water,1738.0,No
2025-03-16,Exercise,43.0,True
2025-03-16,Meditation,17.0,True
2025-03-17,Drink Water,2047.0,True
2025-03-17,Exercise,34.0,True
2025-03-17,Meditation,18.0,True
2025-03-17,Sleep,5.0,True
2025-03-18,Drink Water,1524.0,No
2025-03-18,Read,18.0,True
2025-03-19,Drink Water,1864.0,True
2025-03-19,Read,10.0,True
2025-03-19,Meditation,5.0,No
2025-03-20,Drink Water,1523.0,No
2025-03-20,Read,11.0,True
2025-03-21,Drink Water,1796.0,No
2025-03-21,Read,29.0,True
2025-03-21,Meditation,15.0,True
2025-03-22,Drink Water,1546.0,No
2025-03-22,Meditation,12.0,True
2025-03-22,Sleep,9.0,True
2025-03-23,Drink Water,1667.0,No
2025-03-23,Read,29.0,True
2025-03-23,Meditation,10.0,True
2025-03-24,Drink Water,1828.0,True
2025-03-24,Read,27.0,True
2025-03-24,Exercise,24.0,No
2025-03-24,Meditation,11.0,True
2025-03-25,Drink Water,1599.0,No
2025-03-25,Read,14.0,True
2025-03-25,Exercise,23.0,No
2025-03-25,Sleep,7.0,True
2025-03-26,Drink Water,2015.0,True
2025-03-26,Read,5.0,No
2025-03-26,Meditation,7.0,No
2025-03-27,Drink Water,2035.0,True
2025-03-27,Read,28.0,True
2025-03-27,Meditation,10.0,True
2025-03-27,Sleep,10.0,True
2025-03-28,Drink Water,1735.0,No
2025-03-28,Read,21.0,True
2025-03-28,Exercise,54.0,True
